PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
0usgU,r1bq1rk1/ppp2ppp/3p1n2/2b5/2BnP3/2NN4/PPPP1PPP/R1BQ1RK1 w - - 0 8,e4e5 c8g4 e5f6 g4d1,1848,76,84,93,advantage opening short,https://lichess.org/Yn0iWg3x#15
0562B,1qr3k1/5pbp/b5p1/1NP1p3/P1Q5/7P/5PP1/3R2K1 b - - 0 30,g7f8 d1d7 f8e7 d7e7,1633,79,78,58,crushing middlegame short,https://lichess.org/Koca01FC/black#60
0H1fJ,5R2/p2p3p/1p1r4/k5r1/1q6/4P3/P1R1QK1P/5N2 w - - 11 38,e2e1 g5g2 f2g2 b4e1,1540,74,95,3603,advantage deflection middlegame short,https://lichess.org/AaUiSnpM#75
0tMbf,8/1R6/5pkp/1PR3p1/8/1r5P/1r4PK/8 b - - 3 41,f6f5 b7b6 g6h5 c5f5 b2g2 h2g2,1978,128,89,19,crushing deflection endgame long rookEndgame,https://lichess.org/rBiV61lF/black#82
04BH8,2r3k1/pp2npp1/3r2qp/8/2BBp3/1PP3Rb/P4P2/R2Q3K b - - 0 28,g6f5 g3g7 g8f8 g7f7 f5f7 c4f7,1410,87,79,172900,crushing fork long middlegame,https://lichess.org/G4dmqMvs/black#56
12aO8,8/R2nk3/p7/3p1r2/1P1P3p/1P6/4N2K/8 w - - 0 51,a7a6 f5f2 h2h3 f2e2,634,80,89,341,crushing endgame fork master short,https://lichess.org/c7w23xDG#101
0zn8a,8/1p3p2/5p1p/p1k1p3/2P5/P1K1P1P1/2B2P1P/5b2 w - - 0 27,c2d3 f1d3 c3d3 e5e4 d3e4 c5c4,1701,75,87,183,attraction bishopEndgame crushing deflection endgame long master,https://lichess.org/AZuN89l5#53
0JzlX,3r2k1/ppp2Rb1/3qp1pB/3n4/8/P1P5/1PQ3P1/1B5K b - - 0 23,g8f7 c2g6 f7f8 g6g7 f8e8 b1g6,2001,291,48,8,long mate mateIn3 middlegame,https://lichess.org/WVyzhdYL/black#46
0ksRE,r4rk1/1p3ppp/p1n1p3/3n4/3PQ1P1/B1PB1P1P/qP6/2KR3R b - - 3 21,d5c3 e4h7,1023,205,100,27,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Sy8WqftI/black#42
14ORb,r1bq1rk1/ppb2p2/2n5/2P1N3/3Pp3/6Q1/PP4P1/RN3RK1 b - - 1 17,g8h7 f1f7 f8f7 g3g6 h7h8 e5f7,2262,80,92,5102,attraction exposedKing fork intermezzo long mate mateIn3 opening sacrifice,https://lichess.org/yLPHlRdM/black#34
0EStt,rn1q1rk1/p1pp1ppp/1p3nb1/4p1B1/2B3NP/P1P5/1P1Q1PP1/R3K2R b KQ - 0 12,h7h5 g5f6 g7f6 d2h6 h5g4 h6g6,2196,73,93,3690,clearance crushing kingsideAttack long middlegame pin,https://lichess.org/grsI6nNm/black#24
0gcj1,8/5p1p/5R2/6p1/1r4P1/3k3P/5PK1/8 b - - 1 51,b4f4 f6f4 g5f4 g2f3,1454,75,96,3868,crushing endgame rookEndgame short,https://lichess.org/LsjX5ISk/black#102
0VluM,8/1p3k2/2p5/6K1/P5P1/8/8/8 b - - 0 51,c6c5 a4a5 c5c4 g5f4,2392,85,70,39,crushing defensiveMove endgame pawnEndgame quietMove short,https://lichess.org/gxbi4Nk6/black#102
0KmQR,6Q1/8/8/1p2q1k1/6b1/8/p4BK1/8 b - - 9 85,g5f6 f2d4 e5d4 g8h8 f6f7 h8d4,2075,77,92,1061,crushing endgame exposedKing long pin sacrifice skewer,https://lichess.org/odZCoQRv/black#170
12Vv8,8/1p6/p1p1p3/P4p1p/1P1P1P2/1KP1k2P/8/2N1b3 b - - 7 45,e3f4 c1d3 f4g3 d3e1,1428,389,100,2,endgame equality fork short,https://lichess.org/NkHj26sV/black#90
04noT,6rk/1Q3Kp1/5p2/8/P4B2/8/8/5r2 b - - 0 68,f1f4 b7h1 f4h4 h1h4,983,100,95,231,endgame master mate mateIn2 queenRookEndgame short,https://lichess.org/fGcIZoQ2/black#136
0Gvbm,4r1k1/5ppp/1q3b2/pQ6/3N4/1P5P/P4PP1/3R2K1 b - - 2 25,f6d4 b5e8,867,78,82,213,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/4ZueVEaQ/black#50
0cCwI,R1r3k1/5pbp/1q2n1p1/3pPp2/1p1P1P2/1P1bBN1P/2rN1QP1/R5K1 b - - 12 26,h7h6 f3e1 c8a8 a1a8,2297,83,64,150,advantage fork middlegame short,https://lichess.org/39QSd8H4/black#52
0r3vW,8/8/7p/3k4/1p1rpKPP/1P2R3/8/8 b - - 0 62,d4d3 e3d3 e4d3 f4e3,1846,74,93,2439,crushing endgame rookEndgame short,https://lichess.org/ZOLMPUkA/black#124
0t7zn,8/8/4b1K1/3k3B/4p1p1/4PpPp/5P1P/8 w - - 36 68,g6g5 d5c4 h5g4 e6g4 g5g4 c4d3 g4h4 d3e2 g3g4 e2f2,1632,82,81,47,bishopEndgame crushing endgame veryLong,https://lichess.org/GTrAxZrQ#135
0Bo7h,3r4/1kp3bp/2p3p1/p1P2p2/R2PrP2/3RB3/P4P1P/6K1 w - - 5 23,f2f3 e4e3 d3e3 g7d4 a4d4 d8d4,1465,212,100,23,crushing deflection endgame long pin,https://lichess.org/3R3UWpGX#45
0L9pX,8/5p1p/5Kp1/1k3p2/1P6/8/6PP/8 b - - 5 54,b5b4 f6f7 b4c5 f7g7 g6g5 g7f6,2427,76,93,1585,crushing endgame long pawnEndgame,https://lichess.org/ebBszLRd/black#108
0oA2m,r5k1/1b4pp/p1pB1n1r/1pPp2N1/1P3P2/P2BP1qP/2QP2P1/5R1K b - - 10 26,f6g4 d3h7 h6h7 c2h7,1202,111,60,17,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/XlcW8fvj/black#52
12JN8,5rk1/5p1p/4R3/2pr4/4Q3/1P1q2PP/P6K/5R2 b - - 0 26,f7e6 e4e6 g8g7 e6e7,1814,75,65,59,advantage endgame short,https://lichess.org/mFe6KpbU/black#52
07fBO,3qnrk1/3n2bp/B2p2p1/3Pp3/P3p1b1/B1R2N2/5PPP/3Q1RK1 w - - 0 18,h2h3 e4f3 h3g4 e5e4 c3f3 e4f3,2688,87,75,140,advantage long middlegame quietMove,https://lichess.org/TzA3jglz#35
0hGns,2k3r1/1p1q1p1b/7p/BR1p4/P3p2Q/3P3P/2P2Pr1/1R5K b - - 3 28,e4d3 b5c5 c8b8 a5c7 d7c7 c5c7 g2g1 b1g1,2291,77,82,89,crushing middlegame queensideAttack veryLong,https://lichess.org/b5Wq4nEX/black#56
0ZnjA,8/Q2nk1q1/7p/1ppb4/8/2P5/1P4PP/4R1K1 b - - 3 33,e7d8 a7a5 d8c8 e1e8 c8b7 a5a8 b7c7 a8d5,2170,75,94,7918,crushing endgame exposedKing skewer veryLong,https://lichess.org/JP2W1QVQ/black#66
13TO2,8/5rkp/2Bp1pp1/8/8/1Q4PP/PB3PK1/1q1r4 b - - 5 27,d1d3 b2f6 f7f6 b3b1,1416,74,92,482,crushing discoveredAttack endgame short,https://lichess.org/uF46vjzq/black#54
0ieTm,4r1k1/1p2qpbp/p4np1/4N3/P7/1Q2PN2/5PPP/3R2K1 b - - 1 26,e8b8 e5c6 b7c6 b3b8,1563,411,100,4,crushing middlegame short,https://lichess.org/TFTDYRj9/black#52
043eX,2b5/p2rk1Qp/1p1p4/2pP4/2P2p1q/1P1P4/PB4B1/6K1 b - - 10 40,e7d8 b2f6 d8c7 g7d7 c8d7 f6h4,1853,74,97,4802,advantage endgame exposedKing fork long,https://lichess.org/7QZcZJXk/black#80
0gwlj,5kr1/3q2pQ/p7/2p1pPp1/1p1r4/1P1PR2P/P1P5/5RK1 w - - 0 31,e3e5 d4h4 h7g6 d7d4 g1g2 d4e5,1687,74,88,559,clearance crushing endgame exposedKing fork long,https://lichess.org/t5K5VC6c#61
0xvrm,r3kb1r/5ppp/bqn1pn2/1Bp5/P7/1P3N2/3P1PPP/RNBQ1RK1 w kq - 1 13,f3e5 a6b5 a4b5 a8a1,1322,82,80,133,advantage discoveredAttack opening short,https://lichess.org/SLRimxIg#25
0GKFa,8/5p2/8/5k2/p4P1K/P1P5/8/8 w - - 1 57,c3c4 f5f4 c4c5 f4e5 c5c6 e5d6 c6c7 d6c7,957,102,100,34,crushing endgame pawnEndgame veryLong,https://lichess.org/qVLTqJB0#113
0lhCU,8/2np2p1/p2r1k1p/1p6/7P/1PP1R1N1/2K2P2/8 b - - 18 44,g7g6 g3e4 f6e7 e4d6,1151,77,93,106,advantage discoveredAttack endgame fork master short,https://lichess.org/yENLHb0C/black#88
0UGLP,5rk1/2R2pp1/4P2p/3Q4/3P4/2P3PK/7P/5q2 w - - 1 45,h3h4 g7g5 h4g4 f1e2,2260,121,68,28,crushing endgame short,https://lichess.org/7PtTamK7#89
0XYvZ,2kr1bnr/p1pp1ppp/1pn5/8/5B2/5B2/PP3PPP/RN1R2K1 w - - 3 12,f3c6 d7c6 d1d8 c8d8,904,135,74,18,advantage middlegame short,https://lichess.org/lOTL313E#23
0Wala,8/8/8/2r5/8/6P1/pk3P1P/4R1K1 w - - 0 45,h2h4 c5c1 e1c1 b2c1,1065,76,97,2322,crushing endgame rookEndgame short,https://lichess.org/LwuRzEOw#89
0JJUh,8/8/1bNR1k2/1P3p2/8/1r6/6K1/8 b - - 7 50,f6f7 c6e5 f7e7 d6b6,1657,352,100,3,crushing discoveredAttack endgame short,https://lichess.org/7YmGbLSL/black#100
0pxqN,r5k1/1p3pp1/1p1Np2p/1P6/P2R4/2n1P2P/5PP1/6K1 w - - 9 27,d6b7 c3e2 g1h2 e2d4,961,108,54,23,crushing endgame fork short,https://lichess.org/iVKQPEBT#53
0uCW0,r7/P7/R7/7p/8/4K3/6k1/8 b - - 3 50,h5h4 e3f4 g2f1 a6a2 f1e1 f4g4 e1d1 g4h4,2717,90,93,482,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/eDQ79yC9/black#100
0kaDM,r1b4k/3q1r2/p4pQp/3pp3/8/P6P/1PPR1PP1/3R2K1 b - - 6 26,f7g7 g6h6 h8g8 d2d5 d7c6 d5d8 g8f7 g2g3,2683,102,92,66,crushing defensiveMove exposedKing kingsideAttack middlegame veryLong,https://lichess.org/1dwZNo6h/black#52
0N2qu,r3rQ1k/pp5p/6pB/4q3/8/2P2R2/P5PP/5R1K b - - 6 25,e8f8 f3f8 a8f8 f1f8,987,81,100,60,endgame mate mateIn2 short,https://lichess.org/qyXeb0yC/black#50
06HGX,7r/p6p/5p2/2N5/3k4/1PR5/P3p1PK/8 w - - 4 28,c3c1 h8e8 c1c4 d4e3,2382,83,77,83,advantage defensiveMove endgame quietMove short,https://lichess.org/7Lu9Z3wW#55
075at,r4rk1/3p1ppp/1pbNp3/p1q1P3/Pn3P2/Q2B3P/1PP3P1/2RR3K b - - 6 22,c5e3 d3h7 g8h7 a3e3,1098,78,93,1333,crushing discoveredAttack middlegame short,https://lichess.org/OP4qXniK/black#44
0kzzG,r4k1r/1p1bb1pB/p3p1Qp/2pn4/P2p2RP/2PP4/1P3PPK/R1B1q3 b - - 2 21,e7d6 f2f4 h8h7 g6h7,2068,171,49,14,defensiveMove equality middlegame short,https://lichess.org/J93Bf7ts/black#42
127i6,8/p1p4R/1p1kbQ2/4n3/8/2P2P2/P1P1R3/2K3r1 w - - 0 28,c1b2 e5c4 b2b3 g1b1 b3a4 b6b5,1386,75,59,145,endgame long mate mateIn3,https://lichess.org/fbQix4bV#55
05qws,7r/p3kp1B/2nqp1p1/1p6/2pP3Q/2P5/PP1K1PP1/7R b - - 1 21,e7f8 h4f6 f8e8 f6h8,1853,115,16,19,crushing endgame short trappedPiece,https://lichess.org/gfhmCcSE/black#42
0JiNN,8/8/4K1p1/7p/3P3k/8/8/8 b - - 0 53,g6g5 d4d5 g5g4 d5d6 h4h3 d6d7 g4g3 d7d8q,1156,79,88,106,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/ESZhwRfU/black#106
